"X0","X1","Overall","var","Variables","Resample"
234.51344507727,234.51344507727,234.51344507727,"PageValues",17,"Fold01"
71.8416925531134,71.8416925531134,71.8416925531134,"Month",17,"Fold01"
65.9170506971884,65.9170506971884,65.9170506971884,"Region",17,"Fold01"
51.4679494244878,51.4679494244878,51.4679494244878,"ExitRates",17,"Fold01"
46.3894591617556,46.3894591617556,46.3894591617556,"ProductRelated",17,"Fold01"
44.3142262169046,44.3142262169046,44.3142262169046,"TrafficType",17,"Fold01"
44.2694080014547,44.2694080014547,44.2694080014547,"BounceRates",17,"Fold01"
44.215148398372,44.215148398372,44.215148398372,"ProductRelated_Duration",17,"Fold01"
42.7562536620649,42.7562536620649,42.7562536620649,"Administrative_Duration",17,"Fold01"
41.1203343169385,41.1203343169385,41.1203343169385,"Browser",17,"Fold01"
40.9247481306754,40.9247481306754,40.9247481306754,"Administrative",17,"Fold01"
29.6905228747753,29.6905228747753,29.6905228747753,"Informational_Duration",17,"Fold01"
28.3437107522259,28.3437107522259,28.3437107522259,"Weekend",17,"Fold01"
26.2847400312115,26.2847400312115,26.2847400312115,"OperatingSystems",17,"Fold01"
23.3829724663637,23.3829724663637,23.3829724663637,"Informational",17,"Fold01"
17.3907805981103,17.3907805981103,17.3907805981103,"VisitorType",17,"Fold01"
7.42906671734331,7.42906671734331,7.42906671734331,"SpecialDay",17,"Fold01"
234.51344507727,234.51344507727,234.51344507727,"PageValues",16,"Fold01"
71.8416925531134,71.8416925531134,71.8416925531134,"Month",16,"Fold01"
65.9170506971884,65.9170506971884,65.9170506971884,"Region",16,"Fold01"
51.4679494244878,51.4679494244878,51.4679494244878,"ExitRates",16,"Fold01"
46.3894591617556,46.3894591617556,46.3894591617556,"ProductRelated",16,"Fold01"
44.3142262169046,44.3142262169046,44.3142262169046,"TrafficType",16,"Fold01"
44.2694080014547,44.2694080014547,44.2694080014547,"BounceRates",16,"Fold01"
44.215148398372,44.215148398372,44.215148398372,"ProductRelated_Duration",16,"Fold01"
42.7562536620649,42.7562536620649,42.7562536620649,"Administrative_Duration",16,"Fold01"
41.1203343169385,41.1203343169385,41.1203343169385,"Browser",16,"Fold01"
40.9247481306754,40.9247481306754,40.9247481306754,"Administrative",16,"Fold01"
29.6905228747753,29.6905228747753,29.6905228747753,"Informational_Duration",16,"Fold01"
28.3437107522259,28.3437107522259,28.3437107522259,"Weekend",16,"Fold01"
26.2847400312115,26.2847400312115,26.2847400312115,"OperatingSystems",16,"Fold01"
23.3829724663637,23.3829724663637,23.3829724663637,"Informational",16,"Fold01"
17.3907805981103,17.3907805981103,17.3907805981103,"VisitorType",16,"Fold01"
234.51344507727,234.51344507727,234.51344507727,"PageValues",15,"Fold01"
71.8416925531134,71.8416925531134,71.8416925531134,"Month",15,"Fold01"
65.9170506971884,65.9170506971884,65.9170506971884,"Region",15,"Fold01"
51.4679494244878,51.4679494244878,51.4679494244878,"ExitRates",15,"Fold01"
46.3894591617556,46.3894591617556,46.3894591617556,"ProductRelated",15,"Fold01"
44.3142262169046,44.3142262169046,44.3142262169046,"TrafficType",15,"Fold01"
44.2694080014547,44.2694080014547,44.2694080014547,"BounceRates",15,"Fold01"
44.215148398372,44.215148398372,44.215148398372,"ProductRelated_Duration",15,"Fold01"
42.7562536620649,42.7562536620649,42.7562536620649,"Administrative_Duration",15,"Fold01"
41.1203343169385,41.1203343169385,41.1203343169385,"Browser",15,"Fold01"
40.9247481306754,40.9247481306754,40.9247481306754,"Administrative",15,"Fold01"
29.6905228747753,29.6905228747753,29.6905228747753,"Informational_Duration",15,"Fold01"
28.3437107522259,28.3437107522259,28.3437107522259,"Weekend",15,"Fold01"
26.2847400312115,26.2847400312115,26.2847400312115,"OperatingSystems",15,"Fold01"
23.3829724663637,23.3829724663637,23.3829724663637,"Informational",15,"Fold01"
234.51344507727,234.51344507727,234.51344507727,"PageValues",14,"Fold01"
71.8416925531134,71.8416925531134,71.8416925531134,"Month",14,"Fold01"
65.9170506971884,65.9170506971884,65.9170506971884,"Region",14,"Fold01"
51.4679494244878,51.4679494244878,51.4679494244878,"ExitRates",14,"Fold01"
46.3894591617556,46.3894591617556,46.3894591617556,"ProductRelated",14,"Fold01"
44.3142262169046,44.3142262169046,44.3142262169046,"TrafficType",14,"Fold01"
44.2694080014547,44.2694080014547,44.2694080014547,"BounceRates",14,"Fold01"
44.215148398372,44.215148398372,44.215148398372,"ProductRelated_Duration",14,"Fold01"
42.7562536620649,42.7562536620649,42.7562536620649,"Administrative_Duration",14,"Fold01"
41.1203343169385,41.1203343169385,41.1203343169385,"Browser",14,"Fold01"
40.9247481306754,40.9247481306754,40.9247481306754,"Administrative",14,"Fold01"
29.6905228747753,29.6905228747753,29.6905228747753,"Informational_Duration",14,"Fold01"
28.3437107522259,28.3437107522259,28.3437107522259,"Weekend",14,"Fold01"
26.2847400312115,26.2847400312115,26.2847400312115,"OperatingSystems",14,"Fold01"
234.51344507727,234.51344507727,234.51344507727,"PageValues",13,"Fold01"
71.8416925531134,71.8416925531134,71.8416925531134,"Month",13,"Fold01"
65.9170506971884,65.9170506971884,65.9170506971884,"Region",13,"Fold01"
51.4679494244878,51.4679494244878,51.4679494244878,"ExitRates",13,"Fold01"
46.3894591617556,46.3894591617556,46.3894591617556,"ProductRelated",13,"Fold01"
44.3142262169046,44.3142262169046,44.3142262169046,"TrafficType",13,"Fold01"
44.2694080014547,44.2694080014547,44.2694080014547,"BounceRates",13,"Fold01"
44.215148398372,44.215148398372,44.215148398372,"ProductRelated_Duration",13,"Fold01"
